Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Belarus;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;12,19;13,49;14,17;12,43;10,96;12,01;11,73;13,02;10,87;11,01;12,13;12,47;12,65;12,86
Belarus;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;14,73;16,18;16,96;14,74;12,96;14,23;14,09;15,72;12,84;13,27;14,73;15,26;15,54;15,84
Belarus;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;3,961;4,466;4,803;4,222;3,677;3,959;3,81;4,184;3,661;3,568;3,869;3,903;3,94;3,987
Belarus;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;11,24;12,64;13,54;12,03;10,66;11,64;11,27;12,45;10,73;10,63;11,63;11,88;12,01;12,17
Belarus;Heißgetränke;Umsatz pro Segment;Total;Millionen EUR (€);Statista;264,1;296,5;323,2;286,4;256,2;287,3;291,6;333;267;289,7;235,1;332,4;344,3;355,6
Belarus;Heißgetränke;Umsatz pro Segment;Kaffee;Millionen EUR (€);Statista;163,3;178;185,1;164;147;164,4;165;187,2;143,9;158,1;128,1;180,8;188,7;196,4
Belarus;Heißgetränke;Umsatz pro Segment;Kakao;Millionen EUR (€);Statista;9,829;11,06;12,61;11,26;10,09;10,88;10,97;12,35;10,48;10,91;8,636;11,94;12,43;12,92
Belarus;Heißgetränke;Umsatz pro Segment;Tee;Millionen EUR (€);Statista;90,93;107,5;125,4;111,1;99,12;112;115,6;133,4;112,6;120,7;98,39;139,6;143,1;146,3
Belarus;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;12,268;9,005;-11,386;-10,545;12,139;1,497;14,198;-19,82;8,502;-18,847;41,387;3,58;3,282
Belarus;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;9,002;3,989;-11,399;-10,366;11,837;0,365;13,455;-23,13;9,868;-18,975;41,14;4,369;4,081
Belarus;Heißgetränke;Umsatzveränderung pro Segment;Kakao;Prozent;Statista;;12,524;14,014;-10,706;-10,391;7,83;0,827;12,58;-15,142;4,103;-20,843;38,258;4,104;3,942
Belarus;Heißgetränke;Umsatzveränderung pro Segment;Tee;Prozent;Statista;;18,223;16,651;-11,404;-10,783;12,994;3,214;15,398;-15,592;7,194;-18,484;41,884;2,507;2,236
Belarus;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;28,04;31,47;34,26;30,34;27,12;30,4;30,85;35,23;28,26;30,68;24,92;35,28;36,61;37,89
Belarus;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kaffee;EUR (€);Statista;17,34;18,89;19,63;17,38;15,56;17,4;17,46;19,81;15,23;16,74;13,58;19,2;20,07;20,92
Belarus;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kakao;EUR (€);Statista;1,044;1,173;1,337;1,192;1,068;1,151;1,16;1,306;1,109;1,155;0,915;1,267;1,322;1,376
Belarus;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Tee;EUR (€);Statista;9,656;11,4;13,3;11,77;10,49;11,85;12,23;14,11;11,92;12,78;10,43;14,82;15,22;15,59
Belarus;Heißgetränke;Online-Umsatzanteil;Offline;Prozent;Statista;;;;;;99,79;99,738;99,672;99,294;98,469;98,358;98,224;97,996;97,726
Belarus;Heißgetränke;Online-Umsatzanteil;Online;Prozent;Statista;;;;;;0,21;0,262;0,328;0,706;1,531;1,642;1,776;2,004;2,274
Belarus;Heißgetränke;Mobil- vs. Desktop-Anteil;Desktop;Prozent;Statista;;;;;;62,188;61,152;60,276;59,513;59,662;60,015;60,092;59,927;59,549
Belarus;Heißgetränke;Mobil- vs. Desktop-Anteil;Mobile;Prozent;Statista;;;;;;37,812;38,848;39,724;40,487;40,338;39,985;39,908;40,073;40,451
Belarus;Heißgetränke;Außer-Haus-Umsatzanteil;Außer Haus, Umsatzanteil;Prozent;Statista;37,131;37,59;38,176;39,312;40,275;41,061;40,913;41,481;36,838;40,273;41,556;42,941;43,478;43,964
Belarus;Heißgetränke;Außer-Haus-Umsatzanteil;Zu Hause, Umsatzanteil;Prozent;Statista;62,869;62,41;61,824;60,688;59,725;58,939;59,087;58,519;63,162;59,727;58,444;57,059;56,522;56,036
Belarus;Heißgetränke;Außer-Haus-Volumenanteil;Außer Haus, Mengenanteil;Prozent;Statista;4,391;4,472;4,488;4,662;4,817;4,951;5,001;5,087;4,213;4,82;5,059;5,329;5,411;5,485
Belarus;Heißgetränke;Außer-Haus-Volumenanteil;Zu Hause, Mengenanteil;Prozent;Statista;95,609;95,528;95,512;95,338;95,183;95,049;94,999;94,913;95,787;95,18;94,941;94,671;94,589;94,515
Belarus;Heißgetränke;Volumen pro Segment;Total;Millionen Kilogramm;Statista;21,654;21,983;22,803;23,035;23,374;23,917;24,849;25,577;24,563;26,32;19,38;26,66;27,223;27,661
Belarus;Heißgetränke;Volumen pro Segment;Kaffee;Millionen Kilogramm;Statista;11,085;11,005;10,916;11,131;11,336;11,552;11,712;11,911;11,206;11,911;8,692;11,848;12,147;12,397
Belarus;Heißgetränke;Volumen pro Segment;Kakao;Millionen Kilogramm;Statista;2,481;2,476;2,625;2,666;2,743;2,748;2,879;2,951;2,863;3,057;2,232;3,058;3,156;3,24
Belarus;Heißgetränke;Volumen pro Segment;Tee;Millionen Kilogramm;Statista;8,088;8,501;9,262;9,237;9,295;9,617;10,259;10,714;10,495;11,351;8,456;11,753;11,92;12,024
Belarus;Heißgetränke;Volumenveränderung pro Segment;Total;Prozent;Statista;;1,516;3,73;1,017;1,475;2,324;3,897;2,926;-3,962;7,152;-26,368;37,565;2,112;1,607
Belarus;Heißgetränke;Volumenveränderung pro Segment;Kaffee;Prozent;Statista;;-0,72;-0,811;1,973;1,837;1,913;1,377;1,705;-5,925;6,3;-27,032;36,321;2,523;2,052
Belarus;Heißgetränke;Volumenveränderung pro Segment;Kakao;Prozent;Statista;;-0,202;6,007;1,561;2,902;0,167;4,753;2,528;-3,006;6,8;-26,997;37,018;3,187;2,67
Belarus;Heißgetränke;Volumenveränderung pro Segment;Tee;Prozent;Statista;;5,108;8,945;-0,264;0,626;3,461;6,68;4,431;-2,041;8,157;-25,502;38,987;1,419;0,872
Belarus;Heißgetränke;Durchschnittliches Volumen pro Kopf;Total;Kilogramm;Statista;2,299;2,333;2,418;2,44;2,475;2,531;2,629;2,706;2,599;2,787;2,055;2,83;2,895;2,947
Belarus;Heißgetränke;Durchschnittliches Volumen pro Kopf;Kaffee;Kilogramm;Statista;1,177;1,168;1,157;1,179;1,2;1,222;1,239;1,26;1,186;1,261;0,921;1,258;1,292;1,321
Belarus;Heißgetränke;Durchschnittliches Volumen pro Kopf;Kakao;Kilogramm;Statista;0,263;0,263;0,278;0,282;0,29;0,291;0,305;0,312;0,303;0,324;0,237;0,325;0,336;0,345
Belarus;Heißgetränke;Durchschnittliches Volumen pro Kopf;Tee;Kilogramm;Statista;0,859;0,902;0,982;0,979;0,984;1,018;1,085;1,133;1,111;1,202;0,896;1,248;1,268;1,281
Belarus;Kaffee;Preis pro Einheit;Average;EUR (€);Statista;14,73;16,18;16,96;14,74;12,96;14,23;14,09;15,72;12,84;13,27;14,73;15,26;15,54;15,84
Belarus;Kaffee;Preis pro Einheit;Instant-Kaffee;EUR (€);Statista;14,43;15,97;17,14;15,05;13,38;14,71;14,3;16,08;13,24;13,83;15,51;16,26;16,7;17,17
Belarus;Kaffee;Preis pro Einheit;Röstkaffee;EUR (€);Statista;14,81;16,22;16,92;14,66;12,86;14,11;14,03;15,62;12,73;13,12;14,52;14,99;15,22;15,47
Belarus;Kaffee;Umsatz;Total;Millionen EUR (€);Statista;163,3;178;185,1;164;147;164,4;165;187,2;143,9;158,1;128,1;180,8;188,7;196,4
Belarus;Kaffee;Umsatz;Instant-Kaffee;Millionen EUR (€);Statista;30,63;33,71;36,17;32,81;30,19;34,16;34,8;40,32;31,58;35,15;28,86;41,52;43,98;46,4
Belarus;Kaffee;Umsatz;Röstkaffee;Millionen EUR (€);Statista;132,7;144,3;149;131,2;116,8;130,2;130,2;146,9;112,3;123;99,21;139,3;144,7;150
Belarus;Kaffee;Umsatzveränderung;Total;Prozent;Statista;;9,002;3,989;-11,399;-10,366;11,837;0,365;13,455;-23,13;9,868;-18,975;41,14;4,369;4,081
Belarus;Kaffee;Umsatzveränderung;Instant-Kaffee;Prozent;Statista;;10,056;7,298;-9,289;-7,985;13,15;1,874;15,862;-21,677;11,305;-17,895;43,867;5,925;5,503
Belarus;Kaffee;Umsatzveränderung;Röstkaffee;Prozent;Statista;;8,742;3,257;-11,946;-10,976;11,473;0;12,826;-23,553;9,528;-19,341;40,409;3,877;3,663
Belarus;Kaffee;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;17,34;18,89;19,63;17,38;15,56;17,4;17,46;19,81;15,23;16,74;13,58;19,2;20,07;20,92
Belarus;Kaffee;Durchschnittlicher Umsatz pro Kopf;Instant-Kaffee;EUR (€);Statista;3,253;3,578;3,835;3,476;3,196;3,615;3,682;4,265;3,342;3,723;3,06;4,408;4,677;4,943
Belarus;Kaffee;Durchschnittlicher Umsatz pro Kopf;Röstkaffee;EUR (€);Statista;14,09;15,31;15,8;13,9;12,36;13,78;13,77;15,54;11,89;13,02;10,52;14,79;15,39;15,98
Belarus;Kaffee;Online-Umsatzanteil;Offline;Prozent;Statista;;;;;;99,655;99,566;99,456;98,77;97,393;97,328;97,154;96,822;96,427
Belarus;Kaffee;Online-Umsatzanteil;Online;Prozent;Statista;;;;;;0,345;0,434;0,544;1,23;2,607;2,672;2,846;3,178;3,573
Belarus;Kaffee;Mobil- vs. Desktop-Anteil;Desktop;Prozent;Statista;;;;;;62,188;61,152;60,276;59,513;59,662;60,015;60,092;59,927;59,549
Belarus;Kaffee;Mobil- vs. Desktop-Anteil;Mobile;Prozent;Statista;;;;;;37,812;38,848;39,724;40,487;40,338;39,985;39,908;40,073;40,451
Belarus;Kaffee;Außer-Haus-Umsatzanteil;Außer Haus, Umsatzanteil;Prozent;Statista;50,04;51,325;52,859;54,238;55,151;56,075;56,198;56,78;52,046;55,765;57,242;58,837;59,322;59,748
Belarus;Kaffee;Außer-Haus-Umsatzanteil;Zu Hause, Umsatzanteil;Prozent;Statista;49,96;48,675;47,141;45,762;44,849;43,925;43,802;43,22;47,954;44,235;42,758;41,163;40,678;40,252
Belarus;Kaffee;Außer-Haus-Volumenanteil;Außer Haus, Mengenanteil;Prozent;Statista;7,204;7,439;7,685;7,934;8,178;8,417;8,628;8,837;7,422;8,526;8,994;9,522;9,65;9,763
Belarus;Kaffee;Außer-Haus-Volumenanteil;Zu Hause, Mengenanteil;Prozent;Statista;92,796;92,561;92,315;92,066;91,822;91,583;91,372;91,163;92,578;91,474;91,006;90,478;90,35;90,237
Belarus;Kaffee;Volumen;Total;Millionen Kilogramm;Statista;11,085;11,005;10,916;11,131;11,336;11,552;11,712;11,911;11,206;11,911;8,692;11,848;12,147;12,397
Belarus;Kaffee;Volumen;Instant-Kaffee;Millionen Kilogramm;Statista;2,123;2,111;2,11;2,179;2,257;2,322;2,433;2,507;2,384;2,542;1,861;2,553;2,634;2,703
Belarus;Kaffee;Volumen;Röstkaffee;Millionen Kilogramm;Statista;8,962;8,894;8,806;8,952;9,079;9,231;9,278;9,405;8,821;9,369;6,831;9,295;9,513;9,694
Belarus;Kaffee;Volumenveränderung;Total;Prozent;Statista;;-0,72;-0,811;1,973;1,837;1,913;1,377;1,705;-5,925;6,3;-27,032;36,321;2,523;2,052
Belarus;Kaffee;Volumenveränderung;Instant-Kaffee;Prozent;Statista;;-0,567;-0,068;3,296;3,549;2,886;4,789;3,025;-4,891;6,638;-26,807;37,212;3,172;2,601
Belarus;Kaffee;Volumenveränderung;Röstkaffee;Prozent;Statista;;-0,756;-0,988;1,656;1,419;1,671;0,519;1,359;-6,201;6,208;-27,093;36,078;2,345;1,9
Belarus;Kaffee;Durchschnittliches Volumen pro Kopf;Total;Kilogramm;Statista;1,177;1,168;1,157;1,179;1,2;1,222;1,239;1,26;1,186;1,261;0,921;1,258;1,292;1,321
Belarus;Kaffee;Durchschnittliches Volumen pro Kopf;Instant-Kaffee;Kilogramm;Statista;0,225;0,224;0,224;0,231;0,239;0,246;0,257;0,265;0,252;0,269;0,197;0,271;0,28;0,288
Belarus;Kaffee;Durchschnittliches Volumen pro Kopf;Röstkaffee;Kilogramm;Statista;0,952;0,944;0,934;0,948;0,961;0,977;0,982;0,995;0,934;0,992;0,724;0,987;1,012;1,033
Belarus;Instant-Kaffee;Preis pro Einheit;Average;EUR (€);Statista;14,43;15,97;17,14;15,05;13,38;14,71;14,3;16,08;13,24;13,83;15,51;16,26;16,7;17,17
Belarus;Instant-Kaffee;Preis pro Einheit;Instant-Kaffee, außer Haus;EUR (€);Statista;104;118,1;133,1;119,3;107,1;116,9;109,7;122,5;110,5;107,5;117;118,3;119,7;121,3
Belarus;Instant-Kaffee;Preis pro Einheit;Instant-Kaffee, zu Hause;EUR (€);Statista;9,15;9,911;10,2;8,737;7,594;8,269;8,12;8,961;7,986;7,701;8,286;8,3;8,359;8,442
Belarus;Instant-Kaffee;Umsatz;Total;Millionen EUR (€);Statista;30,63;33,71;36,17;32,81;30,19;34,16;34,8;40,32;31,58;35,15;28,86;41,52;43,98;46,4
Belarus;Instant-Kaffee;Umsatz;Instant-Kaffee, außer Haus;Millionen EUR (€);Statista;12,28;13,96;15,86;14,86;14,05;16,1;16,25;19,26;13,51;16,77;14,47;21,87;23,61;25,34
Belarus;Instant-Kaffee;Umsatz;Instant-Kaffee, zu Hause;Millionen EUR (€);Statista;18,35;19,75;20,31;17,95;16,14;18,06;18,56;21,05;18,06;18,38;14,39;19,66;20,37;21,05
Belarus;Instant-Kaffee;Umsatzveränderung;Total;Prozent;Statista;;10,056;7,298;-9,289;-7,985;13,15;1,874;15,862;-21,677;11,305;-17,895;43,867;5,925;5,503
Belarus;Instant-Kaffee;Umsatzveränderung;Instant-Kaffee, außer Haus;Prozent;Statista;;13,681;13,61;-6,305;-5,451;14,591;0,932;18,523;-29,855;24,13;-13,715;51,14;7,956;7,327
Belarus;Instant-Kaffee;Umsatzveränderung;Instant-Kaffee, zu Hause;Prozent;Statista;;7,629;2,835;-11,62;-10,084;11,896;2,769;13,416;-14,204;1,772;-21,708;36,623;3,611;3,338
Belarus;Instant-Kaffee;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;3,253;3,578;3,835;3,476;3,196;3,615;3,682;4,265;3,342;3,723;3,06;4,408;4,677;4,943
Belarus;Instant-Kaffee;Durchschnittlicher Umsatz pro Kopf;Instant-Kaffee, außer Haus;EUR (€);Statista;1,305;1,481;1,682;1,574;1,487;1,704;1,719;2,038;1,43;1,776;1,534;2,321;2,511;2,7
Belarus;Instant-Kaffee;Durchschnittlicher Umsatz pro Kopf;Instant-Kaffee, zu Hause;EUR (€);Statista;1,948;2,096;2,153;1,902;1,709;1,911;1,963;2,227;1,912;1,946;1,526;2,087;2,166;2,243
Belarus;Instant-Kaffee;Online-Umsatzanteil;Offline;Prozent;Statista;;;;;;99,655;99,55;99,412;98,69;97,533;97,5;97,314;96,99;96,598
Belarus;Instant-Kaffee;Online-Umsatzanteil;Online;Prozent;Statista;;;;;;0,345;0,45;0,588;1,31;2,467;2,5;2,686;3,01;3,402
Belarus;Instant-Kaffee;Mobil- vs. Desktop-Anteil;Desktop;Prozent;Statista;;;;;;62,188;61,152;60,276;59,513;59,662;60,015;60,092;59,927;59,549
Belarus;Instant-Kaffee;Mobil- vs. Desktop-Anteil;Mobile;Prozent;Statista;;;;;;37,812;38,848;39,724;40,487;40,338;39,985;39,908;40,073;40,451
Belarus;Instant-Kaffee;Volumen;Total;Millionen Kilogramm;Statista;2,123;2,111;2,11;2,179;2,257;2,322;2,433;2,507;2,384;2,542;1,861;2,553;2,634;2,703
Belarus;Instant-Kaffee;Volumen;Instant-Kaffee, außer Haus;Millionen Kilogramm;Statista;0,118;0,118;0,119;0,125;0,131;0,138;0,148;0,157;0,122;0,156;0,124;0,185;0,197;0,209
Belarus;Instant-Kaffee;Volumen;Instant-Kaffee, zu Hause;Millionen Kilogramm;Statista;2,005;1,993;1,991;2,055;2,126;2,184;2,285;2,35;2,262;2,386;1,737;2,369;2,437;2,494
Belarus;Instant-Kaffee;Volumenveränderung;Total;Prozent;Statista;;-0,567;-0,068;3,296;3,549;2,886;4,789;3,025;-4,891;6,638;-26,807;37,212;3,172;2,601
Belarus;Instant-Kaffee;Volumenveränderung;Instant-Kaffee, außer Haus;Prozent;Statista;;0,046;0,816;4,564;5,252;5,063;7,521;6,184;-22,222;27,579;-20,746;49,433;6,766;5,871
Belarus;Instant-Kaffee;Volumenveränderung;Instant-Kaffee, zu Hause;Prozent;Statista;;-0,603;-0,12;3,22;3,446;2,752;4,617;2,821;-3,73;5,506;-27,203;36,342;2,891;2,336
Belarus;Instant-Kaffee;Durchschnittliches Volumen pro Kopf;Total;Kilogramm;Statista;0,225;0,224;0,224;0,231;0,239;0,246;0,257;0,265;0,252;0,269;0,197;0,271;0,28;0,288
Belarus;Instant-Kaffee;Durchschnittliches Volumen pro Kopf;Instant-Kaffee, außer Haus;Kilogramm;Statista;0,013;0,013;0,013;0,013;0,014;0,015;0,016;0,017;0,013;0,017;0,013;0,02;0,021;0,022
Belarus;Instant-Kaffee;Durchschnittliches Volumen pro Kopf;Instant-Kaffee, zu Hause;Kilogramm;Statista;0,213;0,212;0,211;0,218;0,225;0,231;0,242;0,249;0,239;0,253;0,184;0,251;0,259;0,266
Belarus;Röstkaffee;Preis pro Einheit;Average;EUR (€);Statista;14,81;16,22;16,92;14,66;12,86;14,11;14,03;15,62;12,73;13,12;14,52;14,99;15,22;15,47
Belarus;Röstkaffee;Preis pro Einheit;Röstkaffee, außer Haus;EUR (€);Statista;102,1;110,5;113,9;97,69;84,19;91,17;88,69;97,22;86,52;83,07;89,42;89,6;90,62;91,86
Belarus;Röstkaffee;Preis pro Einheit;Röstkaffee, zu Hause;EUR (€);Statista;7,637;8,164;8,282;6,97;6,008;6,45;6,383;7,035;6,279;6,06;6,539;6,559;6,606;6,671
Belarus;Röstkaffee;Umsatz;Total;Millionen EUR (€);Statista;132,7;144,3;149;131,2;116,8;130,2;130,2;146,9;112,3;123;99,21;139,3;144,7;150
Belarus;Röstkaffee;Umsatz;Röstkaffee, außer Haus;Millionen EUR (€);Statista;69,44;77,4;82;74,11;67;76,09;76,48;87,04;61,37;71,4;58,84;84,52;88,35;91,98
Belarus;Röstkaffee;Umsatz;Röstkaffee, zu Hause;Millionen EUR (€);Statista;63,24;66,89;66,97;57,11;49,77;54,15;53,72;59,86;50,93;51,57;40,36;54,77;56,4;57,99
Belarus;Röstkaffee;Umsatzveränderung;Total;Prozent;Statista;;8,742;3,257;-11,946;-10,976;11,473;0;12,826;-23,553;9,528;-19,341;40,409;3,877;3,663
Belarus;Röstkaffee;Umsatzveränderung;Röstkaffee, außer Haus;Prozent;Statista;;11,463;5,943;-9,622;-9,594;13,567;0,513;13,808;-29,492;16,343;-17,591;43,644;4,531;4,109
Belarus;Röstkaffee;Umsatzveränderung;Röstkaffee, zu Hause;Prozent;Statista;;5,772;0,12;-14,723;-12,852;8,8;-0,794;11,43;-14,918;1,257;-21,737;35,704;2,976;2,819
Belarus;Röstkaffee;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;14,09;15,31;15,8;13,9;12,36;13,78;13,77;15,54;11,89;13,02;10,52;14,79;15,39;15,98
Belarus;Röstkaffee;Durchschnittlicher Umsatz pro Kopf;Röstkaffee, außer Haus;EUR (€);Statista;7,373;8,214;8,695;7,851;7,094;8,052;8,091;9,208;6,495;7,561;6,238;8,973;9,395;9,801
Belarus;Röstkaffee;Durchschnittlicher Umsatz pro Kopf;Röstkaffee, zu Hause;EUR (€);Statista;6,716;7,099;7,101;6,05;5,269;5,73;5,683;6,333;5,39;5,461;4,279;5,815;5,998;6,178
Belarus;Röstkaffee;Online-Umsatzanteil;Offline;Prozent;Statista;;;;;;99,655;99,571;99,468;98,793;97,353;97,277;97,107;96,771;96,374
Belarus;Röstkaffee;Online-Umsatzanteil;Online;Prozent;Statista;;;;;;0,345;0,429;0,532;1,207;2,647;2,723;2,893;3,229;3,626
Belarus;Röstkaffee;Mobil- vs. Desktop-Anteil;Desktop;Prozent;Statista;;;;;;62,188;61,152;60,276;59,513;59,662;60,015;60,092;59,927;59,549
Belarus;Röstkaffee;Mobil- vs. Desktop-Anteil;Mobile;Prozent;Statista;;;;;;37,812;38,848;39,724;40,487;40,338;39,985;39,908;40,073;40,451
Belarus;Röstkaffee;Volumen;Total;Millionen Kilogramm;Statista;8,962;8,894;8,806;8,952;9,079;9,231;9,278;9,405;8,821;9,369;6,831;9,295;9,513;9,694
Belarus;Röstkaffee;Volumen;Röstkaffee, außer Haus;Millionen Kilogramm;Statista;0,68;0,7;0,72;0,759;0,796;0,835;0,862;0,895;0,709;0,86;0,658;0,943;0,975;1,001
Belarus;Röstkaffee;Volumen;Röstkaffee, zu Hause;Millionen Kilogramm;Statista;8,281;8,193;8,086;8,193;8,283;8,396;8,416;8,509;8,112;8,509;6,173;8,352;8,538;8,692
Belarus;Röstkaffee;Volumenveränderung;Total;Prozent;Statista;;-0,756;-0,988;1,656;1,419;1,671;0,519;1,359;-6,201;6,208;-27,093;36,078;2,345;1,9
Belarus;Röstkaffee;Volumenveränderung;Röstkaffee, außer Haus;Prozent;Statista;;2,955;2,752;5,389;4,918;4,868;3,326;3,82;-20,767;21,164;-23,438;43,363;3,342;2,706
Belarus;Röstkaffee;Volumenveränderung;Röstkaffee, zu Hause;Prozent;Statista;;-1,061;-1,308;1,324;1,096;1,364;0,24;1,107;-4,669;4,901;-27,462;35,301;2,232;1,808
Belarus;Röstkaffee;Durchschnittliches Volumen pro Kopf;Total;Kilogramm;Statista;0,952;0,944;0,934;0,948;0,961;0,977;0,982;0,995;0,934;0,992;0,724;0,987;1,012;1,033
Belarus;Röstkaffee;Durchschnittliches Volumen pro Kopf;Röstkaffee, außer Haus;Kilogramm;Statista;0,072;0,074;0,076;0,08;0,084;0,088;0,091;0,095;0,075;0,091;0,07;0,1;0,104;0,107
Belarus;Röstkaffee;Durchschnittliches Volumen pro Kopf;Röstkaffee, zu Hause;Kilogramm;Statista;0,879;0,869;0,857;0,868;0,877;0,888;0,89;0,9;0,858;0,901;0,654;0,887;0,908;0,926
